"date","btc_close","eth_close","btc_ret","eth_ret","btc_close_cg","btc_mcap_cg","btc_volume_cg","eth_close_cg","eth_mcap_cg","eth_volume_cg","btc_volume_yf","eth_volume_yf","price_source","in_sample"
2024-01-18,41262.05859375,2467.01879882812,-0.0352539060043799,-0.0245641253669913,NA,NA,NA,NA,NA,NA,25218357242,11900028080,"Yahoo Finance",TRUE
2024-01-19,41618.40625,2489.49853515625,0.00859912773807459,0.00907084105613176,NA,NA,NA,NA,NA,NA,25752407154,11405278376,"Yahoo Finance",TRUE
2024-01-20,41665.5859375,2469.58911132812,0.00113298345354629,-0.00802951357821957,NA,NA,NA,NA,NA,NA,11586690904,5297826161,"Yahoo Finance",TRUE
2024-01-21,41545.78515625,2453.9130859375,-0.00287943492455689,-0.00636785675476048,NA,NA,NA,NA,NA,NA,9344043642,4578471955,"Yahoo Finance",TRUE
2024-01-22,39507.3671875,2310.82641601562,-0.0503089102812559,-0.0600787119528734,NA,NA,NA,NA,NA,NA,31338708143,13923771728,"Yahoo Finance",TRUE
2024-01-23,39845.55078125,2240.68603515625,0.00852358425792232,-0.0308231317333183,NA,NA,NA,NA,NA,NA,29244553045,16182147521,"Yahoo Finance",TRUE
2024-01-24,40077.07421875,2233.56176757812,0.00579370572798688,-0.00318456818357316,NA,NA,NA,NA,NA,NA,22359526178,10134722960,"Yahoo Finance",TRUE
2024-01-25,39933.80859375,2217.71020507812,-0.00358115728949393,-0.00712229205759396,NA,NA,NA,NA,NA,NA,18491782013,9302247037,"Yahoo Finance",TRUE
2024-01-26,41816.87109375,2267.19970703125,0.0460765744948173,0.0220702363029845,NA,NA,NA,NA,NA,NA,25598119893,9975117607,"Yahoo Finance",TRUE
2024-01-27,42120.0546875,2267.88598632812,0.00722411285539692,0.000302653289713462,NA,NA,NA,NA,NA,NA,11422941934,5144367230,"Yahoo Finance",TRUE
2024-01-28,42035.59375,2257.20874023438,-0.00200725601730767,-0.0047191347604123,NA,NA,NA,NA,NA,NA,16858971687,7296214994,"Yahoo Finance",TRUE
2024-01-29,43288.24609375,2317.06420898438,0.0293644157369144,0.026171977924216,NA,NA,NA,NA,NA,NA,20668476578,8948195551,"Yahoo Finance",TRUE
2024-01-30,42952.609375,2344.49365234375,-0.00778374498993628,0.0117684948896217,NA,NA,NA,NA,NA,NA,23842814518,10173440062,"Yahoo Finance",TRUE
2024-01-31,42582.60546875,2282.54443359375,-0.00865155280904695,-0.0267786517065529,NA,NA,NA,NA,NA,NA,24673628793,10807883277,"Yahoo Finance",TRUE
2024-02-01,43075.7734375,2303.82470703125,0.0115148902942401,0.00927985755123295,NA,NA,NA,NA,NA,NA,21423953779,8895583113,"Yahoo Finance",TRUE
2024-02-02,43185.859375,2308.0380859375,0.00255237453024471,0.00182719229414907,NA,NA,NA,NA,NA,NA,18603843039,7186143091,"Yahoo Finance",TRUE
2024-02-03,42992.25,2296.03833007812,-0.00449324549215113,-0.00521267761285404,NA,NA,NA,NA,NA,NA,11169245236,4647754021,"Yahoo Finance",TRUE
2024-02-04,42583.58203125,2289.54614257812,-0.00955108622874512,-0.00283156569307508,NA,NA,NA,NA,NA,NA,14802225490,5438100035,"Yahoo Finance",TRUE
2024-02-05,42658.66796875,2298.88891601562,0.00176170753164762,0.00407231931137098,NA,NA,NA,NA,NA,NA,18715487317,7277068110,"Yahoo Finance",TRUE
2024-02-06,43084.671875,2372.20190429688,0.0099368047086994,0.0313926711471675,NA,NA,NA,NA,NA,NA,16798476726,9520885493,"Yahoo Finance",TRUE
2024-02-07,44318.22265625,2423.7451171875,0.0282286462102803,0.0214953156349962,NA,NA,NA,NA,NA,NA,21126587775,9660628536,"Yahoo Finance",TRUE
2024-02-08,45301.56640625,2419.90649414062,0.0219456712821149,-0.00158501236609698,NA,NA,NA,NA,NA,NA,26154524080,9941841732,"Yahoo Finance",TRUE
2024-02-09,47147.19921875,2487.515625,0.039932995408412,0.0275555708006854,NA,NA,NA,NA,NA,NA,39316770844,13634203177,"Yahoo Finance",TRUE
2024-02-10,47771.27734375,2501.22827148438,0.0131499606950634,0.0054974483774366,NA,NA,NA,NA,NA,NA,16398681570,6474444159,"Yahoo Finance",TRUE
2024-02-11,48293.91796875,2507.57055664062,0.0108810642585837,0.00253245888425191,NA,NA,NA,NA,NA,NA,19315867136,7347245813,"Yahoo Finance",TRUE
2024-02-12,49958.22265625,2658.11596679688,0.0338814785316526,0.0583032099839116,NA,NA,NA,NA,NA,NA,34511985805,13022696866,"Yahoo Finance",TRUE
2024-02-13,49742.44140625,2642.18530273438,-0.00432858876011721,-0.00601124774751671,NA,NA,NA,NA,NA,NA,35593051468,18271237044,"Yahoo Finance",TRUE
2024-02-14,51826.6953125,2777.90234375,0.0410468495104084,0.050089749340529,NA,NA,NA,NA,NA,NA,39105608050,21448973822,"Yahoo Finance",TRUE
2024-02-15,51938.5546875,2824.37890625,0.00215600922910753,0.0165923939552677,NA,NA,NA,NA,NA,NA,38564360533,23734481937,"Yahoo Finance",TRUE
2024-02-16,52160.203125,2803.69140625,0.00425843260976144,-0.00735157594831382,NA,NA,NA,NA,NA,NA,28180567298,17057114638,"Yahoo Finance",TRUE
